Date,Product Name,Category,Sales Units,Sales Revenue,Stock Level,Price,Promotion,Economic Indicator,Weather,Competitor Price,Website Traffic,Holiday Season,Lead Time Days,Event Impact,Returns,Demand Forecast,Seasonality
1/23/2024,Cozy Winter Jacket,Clothing,126,"$3,780",141,$30,Yes,79,Sunny,$32.73,1177,Yes,4,None,1,132,Winter
1/24/2024,Cozy Winter Jacket,Clothing,116,"$3,480",45,$30,Yes,78,Rainy,$29.70,850,Yes,3,Black Friday,4,143,Winter
1/25/2024,Cozy Winter Jacket,Clothing,135,"$4,050",295,$30,Yes,76,Cloudy,$34.80,1205,No,7,Holiday Sale,3,165,Winter
1/26/2024,Cozy Winter Jacket,Clothing,110,"$3,300",104,$30,Yes,76,Sunny,$27.05,1169,Yes,6,Black Friday,4,146,Winter
1/27/2024,Cozy Winter Jacket,Clothing,125,"$3,750",116,$30,Yes,72,Sunny,$29.01,1039,Yes,2,None,4,140,Winter
1/28/2024,Cozy Winter Jacket,Clothing,111,"$3,330",278,$30,Yes,80,Cloudy,$25.58,1299,No,6,Holiday Sale,3,135,Winter
1/29/2024,Cozy Winter Jacket,Clothing,123,"$3,690",150,$30,No,78,Sunny,$25.38,831,No,1,Black Friday,3,148,Winter
1/30/2024,Cozy Winter Jacket,Clothing,126,"$3,780",206,$30,No,77,Cloudy,$31.94,1161,No,3,Holiday Sale,2,138,Winter
1/31/2024,Cozy Winter Jacket,Clothing,118,"$3,540",183,$30,No,78,Sunny,$27.58,897,Yes,2,New Year Event,2,165,Winter
2/1/2024,Cozy Winter Jacket,Clothing,108,"$3,240",150,$30,No,70,Rainy,$30.92,977,No,5,New Year Event,2,168,Winter
2/2/2024,Cozy Winter Jacket,Clothing,115,"$3,450",168,$30,Yes,74,Sunny,$30.92,821,No,6,Holiday Sale,0,170,Winter
2/3/2024,Cozy Winter Jacket,Clothing,131,"$3,930",294,$30,No,79,Rainy,$34.99,1106,No,1,Holiday Sale,2,169,Winter
2/4/2024,Cozy Winter Jacket,Clothing,139,"$4,170",218,$30,No,70,Snowy,$29.60,831,Yes,3,None,5,164,Winter
2/5/2024,Cozy Winter Jacket,Clothing,134,"$4,020",79,$30,Yes,70,Sunny,$34.08,1042,Yes,3,None,4,136,Winter
2/6/2024,Cozy Winter Jacket,Clothing,136,"$4,080",69,$30,Yes,75,Rainy,$32.92,947,No,3,Black Friday,4,127,Winter
2/7/2024,Cozy Winter Jacket,Clothing,115,"$3,450",195,$30,No,77,Cloudy,$29.58,803,Yes,1,None,5,167,Winter
2/8/2024,Cozy Winter Jacket,Clothing,123,"$3,690",244,$30,No,77,Rainy,$34.99,905,No,5,Black Friday,3,157,Winter
2/9/2024,Cozy Winter Jacket,Clothing,118,"$3,540",205,$30,No,71,Snowy,$31.83,1222,Yes,7,New Year Event,2,140,Winter
2/10/2024,Cozy Winter Jacket,Clothing,130,"$3,900",273,$30,No,71,Snowy,$28.35,1275,Yes,6,Black Friday,5,145,Winter
2/11/2024,Cozy Winter Jacket,Clothing,159,"$4,770",230,$30,Yes,75,Cloudy,$33.10,1173,No,5,None,0,172,Winter
2/12/2024,Cozy Winter Jacket,Clothing,131,"$3,930",83,$30,No,72,Cloudy,$34.65,950,No,7,Holiday Sale,3,141,Winter
2/13/2024,Cozy Winter Jacket,Clothing,134,"$4,020",178,$30,Yes,75,Snowy,$29.75,1026,Yes,2,None,1,146,Winter
2/14/2024,Cozy Winter Jacket,Clothing,117,"$3,510",199,$30,No,79,Rainy,$33.34,1243,No,1,New Year Event,3,151,Winter
2/15/2024,Cozy Winter Jacket,Clothing,113,"$3,390",193,$30,Yes,76,Sunny,$27.32,902,No,4,Black Friday,5,145,Winter
2/16/2024,Cozy Winter Jacket,Clothing,141,"$4,230",244,$30,Yes,78,Snowy,$29.20,1071,No,5,Holiday Sale,3,172,Winter
2/17/2024,Cozy Winter Jacket,Clothing,106,"$3,180",8,$30,Yes,71,Rainy,$29.47,1197,No,7,Holiday Sale,5,162,Winter
2/18/2024,Cozy Winter Jacket,Clothing,100,"$3,000",43,$30,No,78,Cloudy,$30.93,941,Yes,3,Black Friday,0,171,Winter
2/19/2024,Cozy Winter Jacket,Clothing,133,"$3,990",131,$30,No,77,Cloudy,$32.34,1259,No,5,Black Friday,3,136,Winter
2/20/2024,Cozy Winter Jacket,Clothing,157,"$4,710",144,$30,Yes,71,Rainy,$28.61,826,Yes,3,Holiday Sale,1,146,Winter
2/21/2024,Cozy Winter Jacket,Clothing,149,"$4,470",50,$30,Yes,76,Sunny,$34.52,914,No,7,New Year Event,1,173,Winter
2/22/2024,Cozy Winter Jacket,Clothing,115,"$3,450",11,$30,No,79,Sunny,$32.64,1047,No,6,New Year Event,0,161,Winter
2/23/2024,Cozy Winter Jacket,Clothing,151,"$4,530",195,$30,Yes,78,Snowy,$25.57,1102,No,2,New Year Event,2,142,Winter
2/24/2024,Cozy Winter Jacket,Clothing,102,"$3,060",233,$30,Yes,71,Snowy,$26.58,909,No,1,New Year Event,0,160,Winter
2/25/2024,Cozy Winter Jacket,Clothing,155,"$4,650",203,$30,Yes,70,Rainy,$34.48,1236,Yes,3,None,5,174,Winter
2/26/2024,Cozy Winter Jacket,Clothing,102,"$3,060",20,$30,Yes,72,Sunny,$30.81,1265,No,6,Black Friday,1,173,Winter
2/27/2024,Cozy Winter Jacket,Clothing,147,"$4,410",115,$30,No,77,Cloudy,$30.99,1046,Yes,7,Black Friday,4,156,Winter
2/28/2024,Cozy Winter Jacket,Clothing,108,"$3,240",145,$30,Yes,70,Cloudy,$33.22,1026,Yes,2,Black Friday,3,134,Winter
2/29/2024,Cozy Winter Jacket,Clothing,136,"$4,080",183,$30,Yes,72,Sunny,$26.22,988,No,3,Holiday Sale,3,134,Winter
3/1/2024,Cozy Winter Jacket,Clothing,143,"$4,290",122,$30,Yes,71,Sunny,$29.92,1109,Yes,4,New Year Event,3,142,Winter
3/2/2024,Cozy Winter Jacket,Clothing,117,"$3,510",231,$30,No,79,Snowy,$33.26,863,Yes,2,Black Friday,5,153,Winter
3/3/2024,Cozy Winter Jacket,Clothing,127,"$3,810",10,$30,Yes,71,Snowy,$32.52,1160,No,7,None,1,144,Winter
3/4/2024,Cozy Winter Jacket,Clothing,154,"$4,620",20,$30,Yes,80,Sunny,$28.99,858,No,4,None,2,133,Winter
3/5/2024,Cozy Winter Jacket,Clothing,114,"$3,420",240,$30,No,73,Rainy,$32.46,902,Yes,3,Holiday Sale,3,173,Winter
3/6/2024,Cozy Winter Jacket,Clothing,141,"$4,230",11,$30,No,76,Cloudy,$27.67,1019,Yes,1,Holiday Sale,3,164,Winter
3/7/2024,Cozy Winter Jacket,Clothing,122,"$3,660",77,$30,No,74,Rainy,$32.58,844,Yes,7,New Year Event,4,153,Winter
3/8/2024,Cozy Winter Jacket,Clothing,122,"$3,660",225,$30,Yes,80,Rainy,$29.33,917,No,2,Black Friday,3,144,Winter
3/9/2024,Cozy Winter Jacket,Clothing,144,"$4,320",89,$30,No,71,Sunny,$32.79,1156,No,4,None,3,152,Winter
3/10/2024,Cozy Winter Jacket,Clothing,124,"$3,720",61,$30,No,72,Sunny,$32.06,1211,Yes,4,Holiday Sale,2,158,Winter
3/11/2024,Cozy Winter Jacket,Clothing,112,"$3,360",298,$30,No,71,Rainy,$28.73,969,Yes,2,New Year Event,1,163,Winter
3/12/2024,Cozy Winter Jacket,Clothing,111,"$3,330",173,$30,No,79,Sunny,$31.00,1068,No,2,None,5,125,Winter
3/13/2024,Cozy Winter Jacket,Clothing,144,"$4,320",3,$30,Yes,80,Sunny,$31.02,1245,No,1,None,1,134,Winter
3/14/2024,Cozy Winter Jacket,Clothing,131,"$3,930",271,$30,No,78,Snowy,$26.34,981,No,4,None,0,132,Winter
3/15/2024,Cozy Winter Jacket,Clothing,132,"$3,960",249,$30,Yes,72,Cloudy,$28.63,1198,Yes,3,Black Friday,3,151,Winter
3/16/2024,Cozy Winter Jacket,Clothing,110,"$3,300",36,$30,Yes,80,Snowy,$31.82,1168,Yes,7,None,1,139,Winter
3/17/2024,Cozy Winter Jacket,Clothing,135,"$4,050",96,$30,Yes,73,Cloudy,$32.69,1293,No,2,Black Friday,4,138,Winter
3/18/2024,Cozy Winter Jacket,Clothing,144,"$4,320",236,$30,No,70,Rainy,$26.70,1232,Yes,4,Holiday Sale,1,148,Winter
3/19/2024,Cozy Winter Jacket,Clothing,154,"$4,620",290,$30,Yes,73,Snowy,$32.66,1276,No,1,Holiday Sale,4,168,Winter
3/20/2024,Cozy Winter Jacket,Clothing,113,"$3,390",248,$30,No,78,Cloudy,$32.91,1217,Yes,3,Holiday Sale,1,167,Winter
3/21/2024,Cozy Winter Jacket,Clothing,151,"$4,530",55,$30,No,74,Cloudy,$27.41,1137,No,6,New Year Event,2,172,Winter
3/22/2024,Cozy Winter Jacket,Clothing,103,"$3,090",110,$30,No,73,Cloudy,$32.25,1108,Yes,2,None,1,167,Winter
3/23/2024,Cozy Winter Jacket,Clothing,160,"$4,800",89,$30,No,74,Cloudy,$31.79,1291,Yes,5,Holiday Sale,0,163,Winter
3/24/2024,Cozy Winter Jacket,Clothing,150,"$4,500",92,$30,Yes,76,Snowy,$25.75,936,No,5,Holiday Sale,3,131,Winter
3/25/2024,Cozy Winter Jacket,Clothing,127,"$3,810",35,$30,No,73,Snowy,$27.84,1244,Yes,1,Holiday Sale,2,157,Winter
3/26/2024,Cozy Winter Jacket,Clothing,103,"$3,090",198,$30,No,72,Rainy,$27.69,1266,No,1,Holiday Sale,2,138,Winter
3/27/2024,Cozy Winter Jacket,Clothing,152,"$4,560",14,$30,No,76,Snowy,$29.56,1201,No,7,New Year Event,2,137,Winter
3/28/2024,Cozy Winter Jacket,Clothing,127,"$3,810",25,$30,No,70,Sunny,$30.64,894,Yes,4,Holiday Sale,5,170,Winter
3/29/2024,Cozy Winter Jacket,Clothing,138,"$4,140",283,$30,Yes,73,Cloudy,$33.92,1283,Yes,4,None,5,167,Winter
3/30/2024,Cozy Winter Jacket,Clothing,146,"$4,380",125,$30,Yes,74,Rainy,$28.07,1208,No,5,None,0,144,Winter
3/31/2024,Cozy Winter Jacket,Clothing,146,"$4,380",133,$30,Yes,77,Cloudy,$29.08,893,Yes,7,New Year Event,4,155,Winter
4/1/2024,Cozy Winter Jacket,Clothing,105,"$3,150",107,$30,Yes,74,Snowy,$30.68,965,Yes,5,New Year Event,4,135,Winter
4/2/2024,Cozy Winter Jacket,Clothing,148,"$4,440",187,$30,Yes,74,Snowy,$27.33,867,Yes,4,Black Friday,5,175,Winter
4/3/2024,Cozy Winter Jacket,Clothing,126,"$3,780",221,$30,No,76,Cloudy,$27.98,1113,Yes,1,New Year Event,4,164,Winter
4/4/2024,Cozy Winter Jacket,Clothing,117,"$3,510",180,$30,Yes,74,Rainy,$27.95,1000,No,2,New Year Event,0,160,Winter
4/5/2024,Cozy Winter Jacket,Clothing,127,"$3,810",273,$30,No,73,Cloudy,$32.11,916,Yes,4,Black Friday,0,149,Winter
4/6/2024,Cozy Winter Jacket,Clothing,153,"$4,590",274,$30,Yes,79,Sunny,$26.40,1192,Yes,6,Holiday Sale,5,173,Winter
4/7/2024,Cozy Winter Jacket,Clothing,150,"$4,500",133,$30,No,76,Sunny,$26.16,1019,No,6,Black Friday,4,163,Winter
4/8/2024,Cozy Winter Jacket,Clothing,111,"$3,330",255,$30,No,79,Sunny,$32.15,1100,No,5,Holiday Sale,1,159,Winter
4/9/2024,Cozy Winter Jacket,Clothing,137,"$4,110",183,$30,No,78,Cloudy,$33.34,1273,No,3,Black Friday,2,140,Winter
4/10/2024,Cozy Winter Jacket,Clothing,135,"$4,050",151,$30,No,73,Sunny,$32.53,1184,No,4,New Year Event,2,158,Winter
4/11/2024,Cozy Winter Jacket,Clothing,160,"$4,800",37,$30,Yes,79,Sunny,$34.99,1173,No,5,Holiday Sale,1,147,Winter
4/12/2024,Cozy Winter Jacket,Clothing,118,"$3,540",90,$30,Yes,71,Cloudy,$32.76,1065,Yes,5,None,2,146,Winter
4/13/2024,Cozy Winter Jacket,Clothing,118,"$3,540",16,$30,No,70,Cloudy,$29.36,1233,Yes,2,Holiday Sale,0,174,Winter
4/14/2024,Cozy Winter Jacket,Clothing,148,"$4,440",187,$30,No,78,Rainy,$32.14,934,No,3,None,0,164,Winter
4/15/2024,Cozy Winter Jacket,Clothing,132,"$3,960",12,$30,Yes,79,Snowy,$30.89,1190,Yes,1,Black Friday,2,132,Winter
4/16/2024,Cozy Winter Jacket,Clothing,146,"$4,380",117,$30,Yes,74,Sunny,$30.39,1099,Yes,1,Holiday Sale,4,172,Winter
4/17/2024,Cozy Winter Jacket,Clothing,120,"$3,600",168,$30,No,76,Sunny,$31.80,1231,No,2,Black Friday,1,175,Winter
4/18/2024,Cozy Winter Jacket,Clothing,147,"$4,410",166,$30,Yes,72,Rainy,$31.55,1148,Yes,1,None,3,165,Winter
4/19/2024,Cozy Winter Jacket,Clothing,117,"$3,510",253,$30,No,73,Snowy,$25.40,1130,Yes,6,New Year Event,0,164,Winter
4/20/2024,Cozy Winter Jacket,Clothing,106,"$3,180",226,$30,No,80,Rainy,$25.90,819,No,1,Black Friday,3,174,Winter
4/21/2024,Cozy Winter Jacket,Clothing,146,"$4,380",113,$30,Yes,77,Cloudy,$34.12,1099,No,6,None,1,158,Winter
4/22/2024,Cozy Winter Jacket,Clothing,125,"$3,750",201,$30,Yes,74,Rainy,$32.83,1024,No,6,New Year Event,3,173,Winter
4/23/2024,Cozy Winter Jacket,Clothing,146,"$4,380",293,$30,No,70,Snowy,$27.56,1236,Yes,5,New Year Event,4,130,Winter
4/24/2024,Cozy Winter Jacket,Clothing,108,"$3,240",130,$30,No,71,Cloudy,$33.70,1141,Yes,2,Black Friday,2,152,Winter
4/25/2024,Cozy Winter Jacket,Clothing,160,"$4,800",281,$30,Yes,71,Rainy,$27.08,926,Yes,3,None,1,149,Winter
4/26/2024,Cozy Winter Jacket,Clothing,123,"$3,690",276,$30,Yes,76,Cloudy,$33.62,881,No,6,New Year Event,2,163,Winter
4/27/2024,Cozy Winter Jacket,Clothing,115,"$3,450",102,$30,No,77,Sunny,$31.63,888,No,5,None,2,137,Winter
4/28/2024,Cozy Winter Jacket,Clothing,145,"$4,350",291,$30,No,70,Snowy,$33.82,1121,Yes,4,New Year Event,4,172,Winter
4/29/2024,Cozy Winter Jacket,Clothing,149,"$4,470",133,$30,No,80,Snowy,$34.40,1213,No,6,Black Friday,5,152,Winter
4/30/2024,Cozy Winter Jacket,Clothing,117,"$3,510",164,$30,No,74,Snowy,$33.94,1296,No,1,None,1,170,Winter
5/1/2024,Cozy Winter Jacket,Clothing,142,"$4,260",237,$30,Yes,77,Rainy,$30.20,1234,Yes,5,Holiday Sale,0,151,Winter
5/2/2024,Cozy Winter Jacket,Clothing,123,"$3,690",287,$30,No,70,Rainy,$32.70,818,Yes,1,New Year Event,2,171,Winter
5/3/2024,Cozy Winter Jacket,Clothing,140,"$4,200",242,$30,No,74,Cloudy,$32.63,1164,Yes,7,None,3,125,Winter
5/4/2024,Cozy Winter Jacket,Clothing,132,"$3,960",275,$30,No,71,Rainy,$25.39,993,Yes,1,Black Friday,2,154,Winter
5/5/2024,Cozy Winter Jacket,Clothing,139,"$4,170",104,$30,Yes,72,Rainy,$33.47,1187,No,1,New Year Event,5,148,Winter
5/6/2024,Cozy Winter Jacket,Clothing,129,"$3,870",167,$30,Yes,72,Snowy,$28.77,1065,Yes,3,New Year Event,2,164,Winter
5/7/2024,Cozy Winter Jacket,Clothing,130,"$3,900",271,$30,No,74,Snowy,$27.34,1097,No,3,Black Friday,5,136,Winter
5/8/2024,Cozy Winter Jacket,Clothing,124,"$3,720",103,$30,Yes,74,Cloudy,$29.15,875,No,1,Black Friday,0,146,Winter
5/9/2024,Cozy Winter Jacket,Clothing,133,"$3,990",293,$30,No,79,Snowy,$33.65,937,Yes,5,Black Friday,2,140,Winter
5/10/2024,Cozy Winter Jacket,Clothing,148,"$4,440",288,$30,Yes,76,Cloudy,$25.79,811,No,6,None,0,171,Winter
5/11/2024,Cozy Winter Jacket,Clothing,146,"$4,380",118,$30,No,80,Rainy,$29.90,919,No,4,None,2,171,Winter
5/12/2024,Cozy Winter Jacket,Clothing,149,"$4,470",184,$30,Yes,77,Snowy,$28.78,991,No,3,None,4,169,Winter
5/13/2024,Cozy Winter Jacket,Clothing,124,"$3,720",35,$30,Yes,74,Rainy,$31.97,1223,No,7,Holiday Sale,0,163,Winter
5/14/2024,Cozy Winter Jacket,Clothing,115,"$3,450",101,$30,Yes,72,Cloudy,$28.32,1166,Yes,2,None,5,171,Winter
5/15/2024,Cozy Winter Jacket,Clothing,110,"$3,300",255,$30,No,77,Cloudy,$29.16,835,Yes,6,None,1,132,Winter
5/16/2024,Cozy Winter Jacket,Clothing,136,"$4,080",22,$30,Yes,74,Snowy,$34.84,1149,No,3,Black Friday,5,173,Winter
5/17/2024,Cozy Winter Jacket,Clothing,138,"$4,140",272,$30,No,77,Sunny,$27.25,1030,No,2,Holiday Sale,5,137,Winter
5/18/2024,Cozy Winter Jacket,Clothing,158,"$4,740",219,$30,No,77,Cloudy,$27.64,1195,Yes,1,New Year Event,3,137,Winter
5/19/2024,Cozy Winter Jacket,Clothing,116,"$3,480",110,$30,No,74,Sunny,$32.41,831,Yes,4,Holiday Sale,2,168,Winter
5/20/2024,Cozy Winter Jacket,Clothing,153,"$4,590",226,$30,No,77,Snowy,$32.50,905,Yes,7,None,3,135,Winter
5/21/2024,Cozy Winter Jacket,Clothing,143,"$4,290",131,$30,No,76,Rainy,$32.71,1001,No,5,New Year Event,4,144,Winter
5/22/2024,Cozy Winter Jacket,Clothing,139,"$4,170",164,$30,Yes,79,Sunny,$26.68,891,No,2,New Year Event,4,138,Winter
5/23/2024,Cozy Winter Jacket,Clothing,154,"$4,620",88,$30,Yes,70,Cloudy,$28.63,1047,No,4,New Year Event,3,170,Winter
5/24/2024,Cozy Winter Jacket,Clothing,143,"$4,290",164,$30,No,75,Snowy,$29.21,1063,Yes,2,New Year Event,4,128,Winter
5/25/2024,Cozy Winter Jacket,Clothing,122,"$3,660",147,$30,No,77,Cloudy,$29.18,1004,Yes,7,None,0,131,Winter
5/26/2024,Cozy Winter Jacket,Clothing,105,"$3,150",149,$30,No,79,Rainy,$28.49,1028,Yes,5,New Year Event,0,159,Winter
5/27/2024,Cozy Winter Jacket,Clothing,123,"$3,690",274,$30,Yes,80,Snowy,$34.01,1001,Yes,1,New Year Event,0,129,Winter
5/28/2024,Cozy Winter Jacket,Clothing,145,"$4,350",294,$30,No,78,Rainy,$30.38,811,Yes,1,Black Friday,4,164,Winter
5/29/2024,Cozy Winter Jacket,Clothing,151,"$4,530",16,$30,No,79,Cloudy,$31.00,1285,Yes,4,Holiday Sale,1,158,Winter
5/30/2024,Cozy Winter Jacket,Clothing,108,"$3,240",139,$30,Yes,79,Snowy,$32.87,914,Yes,7,New Year Event,4,166,Winter
5/31/2024,Cozy Winter Jacket,Clothing,160,"$4,800",108,$30,No,73,Rainy,$26.55,1109,No,1,Black Friday,2,158,Winter
6/1/2024,Cozy Winter Jacket,Clothing,131,"$3,930",243,$30,No,72,Snowy,$31.23,1071,Yes,4,Holiday Sale,0,160,Winter
6/2/2024,Cozy Winter Jacket,Clothing,152,"$4,560",129,$30,Yes,78,Snowy,$30.40,843,No,5,Black Friday,5,125,Winter
6/3/2024,Cozy Winter Jacket,Clothing,148,"$4,440",75,$30,No,79,Cloudy,$30.48,1237,Yes,1,Holiday Sale,1,129,Winter
6/4/2024,Cozy Winter Jacket,Clothing,120,"$3,600",287,$30,No,72,Sunny,$27.06,1045,Yes,1,New Year Event,0,128,Winter
6/5/2024,Cozy Winter Jacket,Clothing,136,"$4,080",282,$30,No,73,Cloudy,$32.28,1187,No,2,Holiday Sale,2,164,Winter
6/6/2024,Cozy Winter Jacket,Clothing,147,"$4,410",159,$30,Yes,71,Snowy,$32.58,1192,Yes,2,None,3,168,Winter
6/7/2024,Cozy Winter Jacket,Clothing,103,"$3,090",81,$30,No,70,Cloudy,$25.40,871,Yes,2,Holiday Sale,5,132,Winter
6/8/2024,Cozy Winter Jacket,Clothing,108,"$3,240",272,$30,No,79,Cloudy,$25.00,1282,Yes,3,Holiday Sale,5,141,Winter
6/9/2024,Cozy Winter Jacket,Clothing,104,"$3,120",221,$30,Yes,75,Rainy,$29.77,1005,No,1,None,4,138,Winter
6/10/2024,Cozy Winter Jacket,Clothing,136,"$4,080",121,$30,No,74,Cloudy,$25.11,904,No,5,New Year Event,3,153,Winter
6/11/2024,Cozy Winter Jacket,Clothing,122,"$3,660",157,$30,No,80,Cloudy,$29.86,1175,Yes,1,New Year Event,3,138,Winter
6/12/2024,Cozy Winter Jacket,Clothing,143,"$4,290",159,$30,Yes,75,Snowy,$26.18,1291,No,2,Holiday Sale,3,150,Winter
6/13/2024,Cozy Winter Jacket,Clothing,119,"$3,570",100,$30,Yes,78,Rainy,$34.42,946,No,4,Black Friday,2,158,Winter
6/14/2024,Cozy Winter Jacket,Clothing,101,"$3,030",297,$30,No,75,Sunny,$33.02,1151,Yes,1,None,1,170,Winter
6/15/2024,Cozy Winter Jacket,Clothing,121,"$3,630",271,$30,Yes,77,Cloudy,$30.19,1160,Yes,7,New Year Event,5,169,Winter
6/16/2024,Cozy Winter Jacket,Clothing,110,"$3,300",190,$30,Yes,77,Rainy,$31.55,1274,No,6,New Year Event,2,141,Winter
6/17/2024,Cozy Winter Jacket,Clothing,134,"$4,020",93,$30,No,78,Cloudy,$29.40,1288,No,5,Holiday Sale,1,152,Winter
6/18/2024,Cozy Winter Jacket,Clothing,160,"$4,800",54,$30,No,72,Cloudy,$28.34,1219,Yes,2,Black Friday,3,143,Winter
6/19/2024,Cozy Winter Jacket,Clothing,115,"$3,450",289,$30,No,74,Sunny,$26.64,923,Yes,1,Black Friday,3,134,Winter
6/20/2024,Cozy Winter Jacket,Clothing,139,"$4,170",84,$30,Yes,76,Rainy,$25.32,1170,No,7,Holiday Sale,1,137,Winter
6/21/2024,Cozy Winter Jacket,Clothing,106,"$3,180",250,$30,No,74,Cloudy,$33.68,843,No,6,Black Friday,4,126,Winter
6/22/2024,Cozy Winter Jacket,Clothing,116,"$3,480",190,$30,No,74,Cloudy,$29.04,1248,No,6,None,4,174,Winter
6/23/2024,Cozy Winter Jacket,Clothing,121,"$3,630",174,$30,No,80,Snowy,$27.71,862,Yes,1,Holiday Sale,2,151,Winter
6/24/2024,Cozy Winter Jacket,Clothing,144,"$4,320",6,$30,Yes,73,Snowy,$30.02,1209,No,2,None,2,137,Winter
6/25/2024,Cozy Winter Jacket,Clothing,126,"$3,780",274,$30,Yes,73,Snowy,$34.89,953,Yes,6,Holiday Sale,3,175,Winter
6/26/2024,Cozy Winter Jacket,Clothing,134,"$4,020",232,$30,Yes,73,Snowy,$33.35,900,No,5,None,3,149,Winter
6/27/2024,Cozy Winter Jacket,Clothing,143,"$4,290",244,$30,No,80,Rainy,$27.45,1046,Yes,5,Holiday Sale,4,166,Winter
6/28/2024,Cozy Winter Jacket,Clothing,133,"$3,990",72,$30,No,73,Cloudy,$28.72,859,No,4,Holiday Sale,5,147,Winter
6/29/2024,Cozy Winter Jacket,Clothing,110,"$3,300",244,$30,Yes,78,Rainy,$33.24,948,No,3,None,4,172,Winter
6/30/2024,Cozy Winter Jacket,Clothing,149,"$4,470",248,$30,Yes,75,Cloudy,$30.40,1054,Yes,3,New Year Event,0,143,Winter
7/1/2024,Cozy Winter Jacket,Clothing,153,"$4,590",290,$30,Yes,74,Cloudy,$31.97,1224,Yes,7,New Year Event,2,156,Winter
7/2/2024,Cozy Winter Jacket,Clothing,134,"$4,020",74,$30,No,71,Rainy,$27.38,1008,Yes,3,Black Friday,3,132,Winter
7/3/2024,Cozy Winter Jacket,Clothing,106,"$3,180",208,$30,Yes,80,Cloudy,$33.25,1125,No,4,Black Friday,3,153,Winter
7/4/2024,Cozy Winter Jacket,Clothing,156,"$4,680",138,$30,Yes,73,Cloudy,$28.13,803,Yes,4,Black Friday,0,143,Winter
7/5/2024,Cozy Winter Jacket,Clothing,157,"$4,710",51,$30,Yes,79,Snowy,$34.61,950,Yes,4,New Year Event,4,158,Winter
